Oficina de Control Migratorio,País,Año,Mes,Valor
Aeropuerto Internacional Jorge Chávez,NAMIBIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,NIGER,2020,5,0
Aeropuerto Internacional Jorge Chávez,NIGERIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,REP.CENTROAFRICANA,2020,5,0
Aeropuerto Internacional Jorge Chávez,RWANDA,2020,5,0
Aeropuerto Internacional Jorge Chávez,SENEGAL,2020,5,0
Aeropuerto Internacional Jorge Chávez,SEYCHELLES,2020,5,0
Aeropuerto Internacional Jorge Chávez,SIERRA LEONA,2020,5,0
Aeropuerto Internacional Jorge Chávez,SOMALIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,STO. TOME Y PRINCIPE,2020,5,0
Aeropuerto Internacional Jorge Chávez,SUDAN,2020,5,0
Aeropuerto Internacional Jorge Chávez,SWAZILANDIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,TANZANIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,TOGO,2020,5,0
Aeropuerto Internacional Jorge Chávez,TUNEZ,2020,5,0
Aeropuerto Internacional Jorge Chávez,UGANDA,2020,5,0
Aeropuerto Internacional Jorge Chávez,ZAMBIA,2020,5,0
Aeropuerto Internacional Jorge Chávez,ZIMBABWE,2020,5,0
Aeropuerto Internacional Jorge Chávez,SUDAFRICA,2020,5,0
Aeropuerto Internacional Jorge Chávez,GHANA,2020,11,0
Aeropuerto Internacional Jorge Chávez,MARRUECOS,2020,11,0
Aeropuerto Internacional Jorge Chávez,EGIPTO,2020,11,4
Aeropuerto Internacional Jorge Chávez,ANGOLA,2020,11,0
Aeropuerto Internacional Jorge Chávez,ARGELIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,BENIN,2020,11,0
Aeropuerto Internacional Jorge Chávez,BOTSWANA,2020,11,0
Aeropuerto Internacional Jorge Chávez,BURKINA FASO,2020,11,0
Aeropuerto Internacional Jorge Chávez,BURUNDI,2020,11,0
Aeropuerto Internacional Jorge Chávez,CABO VERDE,2020,11,0
Aeropuerto Internacional Jorge Chávez,CAMERUN,2020,11,0
Aeropuerto Internacional Jorge Chávez,CHAD,2020,11,1
Aeropuerto Internacional Jorge Chávez,COMORAS (ISL),2020,11,0
Aeropuerto Internacional Jorge Chávez,CONGO,2020,11,0
Aeropuerto Internacional Jorge Chávez,COSTA MARFIL,2020,11,0
Aeropuerto Internacional Jorge Chávez,DEMOC.REP. CONGO (ZAIRE),2020,11,0
Aeropuerto Internacional Jorge Chávez,DJIBOUTI,2020,11,0
Aeropuerto Internacional Jorge Chávez,ERITREA,2020,11,0
Aeropuerto Internacional Jorge Chávez,ETIOPIA,2020,11,1
Aeropuerto Internacional Jorge Chávez,GABON,2020,11,0
Aeropuerto Internacional Jorge Chávez,GAMBIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,GUINEA,2020,11,0
Aeropuerto Internacional Jorge Chávez,GUINEA BISSAU,2020,11,0
Aeropuerto Internacional Jorge Chávez,GUINEA ECUATORIAL,2020,11,0
Aeropuerto Internacional Jorge Chávez,KENIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,LESOTHO,2020,11,0
Aeropuerto Internacional Jorge Chávez,LIBERIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,LIBIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,MADAGASCAR,2020,11,0
Aeropuerto Internacional Jorge Chávez,MALAWI,2020,11,0
Aeropuerto Internacional Jorge Chávez,MALI,2020,11,0
Aeropuerto Internacional Jorge Chávez,MAURICIO,2020,11,0
Aeropuerto Internacional Jorge Chávez,MAURITANIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,MOZAMBIQUE,2020,11,0
Aeropuerto Internacional Jorge Chávez,NAMIBIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,NIGER,2020,11,0
Aeropuerto Internacional Jorge Chávez,NIGERIA,2020,11,0
Aeropuerto Internacional Jorge Chávez,REP.CENTROAFRICANA,2020,11,0
Aeropuerto Internacional Jorge Chávez,RWANDA,2020,11,0
Aeropuerto Internacional Jorge Chávez,SENEGAL,2020,11,0
Aeropuerto Internacional Jorge Chávez,SEYCHELLES,2020,11,0
Aeropuerto Internacional Jorge Chávez,SIERRA LEONA,2020,11,0
